Név	Intezmeny	Szak	Felev	Hanyadik
Dobos Hajnalka	Szegedi Tudományegyetem	mûszaki informatikai	10	12
Dobos Hajnalka	Szegedi Tudományegyetem	programtervezõ matematikus	10	13
Dudás Dénes	Budapesti Corvinus Egyetem	gazdálkodási szakos közgazdász tanári	10	1
Dudás Dénes	Budapesti Corvinus Egyetem	kertészmérnöki	10	2
Dudás Dénes	Budapesti Corvinus Egyetem	kommunikáció-szociológia	10	3
Dudás Dénes	Budapesti Corvinus Egyetem	közgazdász tanári	10	4
Dudás Dénes	Budapesti Corvinus Egyetem	közigazgatási (egyetemi)	10	5
Dudás Dénes	Budapesti Corvinus Egyetem	szõlész-borász (fõiskolai)	6	6
Dudás Dénes	Budapesti Corvinus Egyetem	településmérnöki	10	7
Dudás Dénes	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	8
Dudás Dénes	Szegedi Tudományegyetem	angol-informatikatanári	10	9
Dudás Dénes	Szegedi Tudományegyetem	ének-zenetanár (fõiskolai)-informatikatanári	10	10
Dudás Dénes	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	11
Dudás Dénes	Szegedi Tudományegyetem	informatikatanári-latin	10	12
Dudás Dénes	Szegedi Tudományegyetem	informatikatanári-német nemzetiségi (fõiskolai)	10	13
Dudás Dénes	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	14
Dudás Dénes	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	15
Fekete Gábor	Budapesti Corvinus Egyetem	nemzetközi tanulmányok	10	1
Fekete Gábor	Budapesti Corvinus Egyetem	politológus-közgazdász	10	2
Fekete Gábor	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	3
Fekete Gábor	Budapesti Mûszaki és Gazdaságtudományi Egyetem	matematikus	10	4
Fekete Gábor	Eötvös Loránd Tudományegyetem	nemzetközi tanulmányok	10	5
Fekete Gábor	Szegedi Tudományegyetem	fizika-informatikatanári	10	6
Fekete Gábor	Szegedi Tudományegyetem	francia-informatikatanári	10	7
Fekete Gábor	Szegedi Tudományegyetem	informatikatanári-latin	10	8
Fekete Gábor	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	9
Fekete Gábor	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	10
Fekete Gábor	Szegedi Tudományegyetem	számítástechnika-tanári-technika	8	11
Fenyvesi Máté	Budapesti Corvinus Egyetem	gazdaságinformatikus (BSc)	7	1
Fenyvesi Máté	Budapesti Corvinus Egyetem	nemzetközi tanulmányok	10	2
Fenyvesi Máté	Budapesti Corvinus Egyetem	szociológia	10	3
Fenyvesi Máté	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	4
Fenyvesi Máté	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	5
Fenyvesi Máté	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közgazdász-gazdálkodási	10	6
Fenyvesi Máté	Szegedi Tudományegyetem	informatikatanári-latin	10	7
Fenyvesi Máté	Szegedi Tudományegyetem	informatikatanári-matematika	10	8
Fenyvesi Máté	Szegedi Tudományegyetem	informatikatanári-német	10	9
Fenyvesi Máté	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	10
Fenyvesi Máté	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	11
Fenyvesi Máté	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	12
Fenyvesi Máté	Szegedi Tudományegyetem	programtervezõ informatikus (BSc)	6	13
Füleki József	Budapesti Corvinus Egyetem	kommunikáció-szociológia	10	1
Füleki József	Budapesti Corvinus Egyetem	politológus-közgazdász	10	2
Füleki József	Budapesti Mûszaki és Gazdaságtudományi Egyetem	energetikai mérnöki (BSc)	7	3
Füleki József	Budapesti Mûszaki és Gazdaságtudományi Egyetem	vegyészmérnöki (BSc)	7	4
Füleki József	Szegedi Tudományegyetem	biológia-informatikatanári	10	5
Füleki József	Szegedi Tudományegyetem	informatikatanári-német nemzetiségi (fõiskolai)	10	6
Gaál Réka	Budapesti Corvinus Egyetem	élelmiszermérnöki	10	1
Gaál Réka	Budapesti Corvinus Egyetem	gazdaságinformatikus (BSc)	7	2
Gaál Réka	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	3
Gaál Réka	Budapesti Mûszaki és Gazdaságtudományi Egyetem	környezetmérnöki (BSc)	7	4
Gaál Réka	Budapesti Mûszaki és Gazdaságtudományi Egyetem	matematikus	10	5
Gaál Réka	Eötvös Loránd Tudományegyetem	nemzetközi tanulmányok	10	6
Gaál Réka	Szegedi Tudományegyetem	informatikatanári-matematika	10	7
Gaál Réka	Szegedi Tudományegyetem	mûszaki informatikai (fõiskolai)	6	8
Gaál Réka	Szegedi Tudományegyetem	programtervezõ informatikus (BSc)	6	9
Joó Virág	Budapesti Corvinus Egyetem	igazgatásszervezõ	6	1
Joó Virág	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Joó Virág	Budapesti Corvinus Egyetem	politológus-közgazdász	10	3
Joó Virág	Budapesti Mûszaki és Gazdaságtudományi Egyetem	környezetmérnöki (BSc)	7	4
Joó Virág	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	5
Joó Virág	Budapesti Mûszaki és Gazdaságtudományi Egyetem	villamosmérnöki (BSc)	7	6
Joó Virág	Szegedi Tudományegyetem	gazdaságinformatikus (BSc)	7	7
Joó Virág	Szegedi Tudományegyetem	informatikatanári-német	10	8
Joó Virág	Szegedi Tudományegyetem	informatikatanári-német nemzetiségi (fõiskolai)	10	9
Joó Virág	Szegedi Tudományegyetem	informatikatanári-román nemzetiségi (fõiskolai)	10	10
Kiss Ibolya	Budapesti Corvinus Egyetem	igazgatásszervezõ	6	1
Kiss Ibolya	Budapesti Corvinus Egyetem	közgazdász-gazdálkodási	10	2
Kiss Ibolya	Budapesti Corvinus Egyetem	politológus-közgazdász	10	3
Kiss Ibolya	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	4
Kiss Ibolya	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	5
Kiss Ibolya	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	6
Kiss Ibolya	Szegedi Tudományegyetem	angol-informatikatanári	10	7
Kiss Ibolya	Szegedi Tudományegyetem	informatikatanári-matematika	10	8
Kiss Ibolya	Szegedi Tudományegyetem	mûszaki informatikai (fõiskolai)	6	9
Kiss Ibolya	Szegedi Tudományegyetem	számítástechnika-tanári-technika	8	10
Kocsis Tamás	Budapesti Corvinus Egyetem	gazdaságmatematikai elemzõ közgazdász	10	1
Kocsis Tamás	Budapesti Corvinus Egyetem	igazgatásszervezõ	6	2
Kocsis Tamás	Budapesti Corvinus Egyetem	közgazdász tanári	10	3
Kocsis Tamás	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	4
Kocsis Tamás	Budapesti Corvinus Egyetem	pénzügyi	10	5
Kocsis Tamás	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	6
Kocsis Tamás	Budapesti Corvinus Egyetem	településmérnöki	10	7
Kocsis Tamás	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	8
Kocsis Tamás	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	9
Kocsis Tamás	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	10
Kocsis Tamás	Szegedi Tudományegyetem	földrajz-informatikatanári	10	11
Kocsis Tamás	Szegedi Tudományegyetem	informatikatanári-matematika	10	12
Kocsis Tamás	Szegedi Tudományegyetem	informatikatanári-román nemzetiségi (fõiskolai)	10	13
Kocsis Tamás	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	14
Kocsis Tamás	Szegedi Tudományegyetem	informatikatanári-történelem	10	15
Kocsis Tamás	Szegedi Tudományegyetem	programtervezõ matematikus	10	16
Láng vince	Budapesti Corvinus Egyetem	kertészmérnöki	10	1
Láng vince	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Láng vince	Budapesti Corvinus Egyetem	településmérnöki	10	3
Láng vince	Budapesti Mûszaki és Gazdaságtudományi Egyetem	energetikai mérnöki (BSc)	7	4
Láng vince	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	5
Láng vince	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	6
Láng vince	Budapesti Mûszaki és Gazdaságtudományi Egyetem	környezetmérnöki (BSc)	7	7
Láng vince	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök-fizikus	10	8
Láng vince	Budapesti Mûszaki és Gazdaságtudományi Egyetem	villamosmérnöki (BSc)	7	9
Láng vince	Szegedi Tudományegyetem	angol-informatikatanári	10	10
Láng vince	Szegedi Tudományegyetem	ének-zenetanár (fõiskolai)-informatikatanári	10	11
Láng vince	Szegedi Tudományegyetem	informatikatanári-matematika	10	12
Lovas Tibor	Budapesti Corvinus Egyetem	gazdálkodási-kommunikáció	10	1
Lovas Tibor	Budapesti Corvinus Egyetem	nemzetközi tanulmányok	10	2
Lovas Tibor	Budapesti Mûszaki és Gazdaságtudományi Egyetem	biomérnöki (BSc)	7	3
Lovas Tibor	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közlekedésmérnöki	10	4
Lovas Tibor	Szegedi Tudományegyetem	informatikatanári-kémia	10	5
Lovas Tibor	Szegedi Tudományegyetem	informatikatanári-német	10	6
Lovasi Bálint	Budapesti Corvinus Egyetem	közgazdasági	10	1
Lovasi Bálint	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	2
Lovasi Bálint	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	3
Lovasi Bálint	Budapesti Mûszaki és Gazdaságtudományi Egyetem	matematikus	10	4
Lovasi Bálint	Budapesti Mûszaki és Gazdaságtudományi Egyetem	vegyészmérnöki (BSc)	7	5
Lovasi Bálint	Szegedi Tudományegyetem	informatikatanári-német	10	6
Lovasi Bálint	Szegedi Tudományegyetem	informatikatanári-orosz	10	7
Lovasi Bálint	Szegedi Tudományegyetem	mûszaki informatikai (fõiskolai)	6	8
Makró Szabolcs	Budapesti Corvinus Egyetem	kertészmérnöki	10	1
Makró Szabolcs	Budapesti Corvinus Egyetem	közgazdasági	10	2
Makró Szabolcs	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	3
Makró Szabolcs	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	4
Makró Szabolcs	Budapesti Corvinus Egyetem	szõlész-borász (fõiskolai)	6	5
Makró Szabolcs	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	6
Makró Szabolcs	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közgazdász-gazdálkodási	10	7
Makró Szabolcs	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közlekedésmérnöki	10	8
Makró Szabolcs	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	9
Makró Szabolcs	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök-fizikus	10	10
Makró Szabolcs	Szegedi Tudományegyetem	földrajz-informatikatanári	10	11
Makró Szabolcs	Szegedi Tudományegyetem	gazdaságinformatikus (BSc)	7	12
Makró Szabolcs	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	13
Pék Petra	Budapesti Corvinus Egyetem	igazgatásszervezõ	6	1
Pék Petra	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Pék Petra	Budapesti Corvinus Egyetem	politológus-közgazdász	10	3
Pék Petra	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	4
Pék Petra	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (BSc)	7	5
Pék Petra	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	6
Pék Petra	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mûszaki menedzser	10	7
Pék Petra	Szegedi Tudományegyetem	fizika-informatikatanári	10	8
Pék Petra	Szegedi Tudományegyetem	informatikatanári	10	9
Pék Petra	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	10
Pék Petra	Szegedi Tudományegyetem	informatikatanári-történelem	10	11
Soós Tímea	Budapesti Corvinus Egyetem	közigazgatási (egyetemi)	10	1
Soós Tímea	Budapesti Corvinus Egyetem	szociológia	10	2
Soós Tímea	Budapesti Mûszaki és Gazdaságtudományi Egyetem	környezetmérnöki (BSc)	7	3
Soós Tímea	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök-fizikus	10	4
Soós Tímea	Szegedi Tudományegyetem	francia-informatikatanári	10	5
Soós Tímea	Szegedi Tudományegyetem	informatikatanári-magyar	10	6
Soós Tímea	Szegedi Tudományegyetem	informatikatanári-orosz	10	7
Soós Tímea	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	8
Soós Tímea	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	9
Soós Tímea	Szegedi Tudományegyetem	programtervezõ informatikus (BSc)	6	10
Soós Tímea	Szegedi Tudományegyetem	számítástechnika-tanári-technika	8	11
Szabó Noémi	Budapesti Corvinus Egyetem	gazdaságmatematikai elemzõ közgazdász	10	1
Szabó Noémi	Budapesti Corvinus Egyetem	igazgatásszervezõ	6	2
Szabó Noémi	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	3
Szabó Noémi	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	4
Szabó Noémi	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	5
Szabó Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	6
Szabó Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (BSc)	7	7
Szabó Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	8
Szabó Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közgazdász-gazdálkodási	10	9
Szabó Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	matematikus	10	10
Szabó Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	villamosmérnöki (BSc)	7	11
Szabó Noémi	Szegedi Tudományegyetem	biológia-informatikatanári	10	12
Szabó Noémi	Szegedi Tudományegyetem	ének-zenetanár (fõiskolai)-informatikatanári	10	13
Szabó Noémi	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	14
Szabó Noémi	Szegedi Tudományegyetem	informatikatanári-matematika	10	15
Szabó Noémi	Szegedi Tudományegyetem	informatikatanári-német nemzetiségi (fõiskolai)	10	16
Szabó Noémi	Szegedi Tudományegyetem	informatikatanári-orosz	10	17
Szabó Noémi	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	18
Szabó Noémi	Szegedi Tudományegyetem	mûszaki informatikai	10	19
Szabó Noémi	Szegedi Tudományegyetem	programtervezõ informatikus (BSc)	6	20
Szabó Noémi	Szegedi Tudományegyetem	programtervezõ matematikus	10	21
Szegedi Olga	Budapesti Corvinus Egyetem	élelmiszermérnöki	10	1
Szegedi Olga	Budapesti Corvinus Egyetem	igazgatásszervezõ	6	2
Szegedi Olga	Budapesti Corvinus Egyetem	szociológia	10	3
Szegedi Olga	Budapesti Mûszaki és Gazdaságtudományi Egyetem	biomérnöki (BSc)	7	4
Szegedi Olga	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	5
Szegedi Olga	Szegedi Tudományegyetem	angol-informatikatanári	10	6
Szegedi Olga	Szegedi Tudományegyetem	informatikatanári-német	10	7
Szegedi Olga	Szegedi Tudományegyetem	informatikatanári-pedagógia	10	8
Szegedi Olga	Szegedi Tudományegyetem	informatikatanári-történelem	10	9
Szegedi Olga	Szegedi Tudományegyetem	közgazdasági programozó matematikus	10	10
Szegedi Olga	Szegedi Tudományegyetem	mûszaki informatikai	10	11
Szekeres Ferenc	Budapesti Corvinus Egyetem	kertészmérnöki	10	1
Szekeres Ferenc	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Szekeres Ferenc	Budapesti Corvinus Egyetem	közgazdasági	10	3
Szekeres Ferenc	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	4
Szekeres Ferenc	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (BSc)	7	5
Szekeres Ferenc	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	6
Szekeres Ferenc	Szegedi Tudományegyetem	gazdaságinformatikus (BSc)	7	7
Szekeres Ferenc	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	8
Szekeres Ferenc	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	9
Szekeres Ferenc	Szegedi Tudományegyetem	informatikatanári-történelem	10	10
Szekeres Ferenc	Szegedi Tudományegyetem	programtervezõ informatikus (BSc)	6	11
Szép Artúr	Budapesti Corvinus Egyetem	gazdálkodási szakos közgazdász tanári	10	1
Szép Artúr	Budapesti Corvinus Egyetem	gazdaságmatematikai elemzõ közgazdász	10	2
Szép Artúr	Budapesti Corvinus Egyetem	közgazdász tanári	10	3
Szép Artúr	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	4
Szép Artúr	Budapesti Mûszaki és Gazdaságtudományi Egyetem	energetikai mérnöki (BSc)	7	5
Szép Artúr	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (BSc)	7	6
Szép Artúr	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök-fizikus	10	7
Szép Artúr	Budapesti Mûszaki és Gazdaságtudományi Egyetem	vegyészmérnöki (BSc)	7	8
Szép Artúr	Eötvös Loránd Tudományegyetem	nemzetközi tanulmányok	10	9
Szép Artúr	Szegedi Tudományegyetem	ének-zenetanár (fõiskolai)-informatikatanári	10	10
Szép Artúr	Szegedi Tudományegyetem	francia-informatikatanári	10	11
Szép Artúr	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	12
Szép Artúr	Szegedi Tudományegyetem	informatikatanári-rajz (fõiskolai)	10	13
Szép Artúr	Szegedi Tudományegyetem	számítástechnika-tanári-technika	8	14
Szöllõsi Olivér	Budapesti Corvinus Egyetem	kommunikáció-szociológia	10	1
Szöllõsi Olivér	Budapesti Corvinus Egyetem	közgazdász tanári	10	2
Szöllõsi Olivér	Budapesti Corvinus Egyetem	szociológia	10	3
Szöllõsi Olivér	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	4
Szöllõsi Olivér	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	5
Szöllõsi Olivér	Budapesti Corvinus Egyetem	településmérnöki	10	6
Szöllõsi Olivér	Budapesti Mûszaki és Gazdaságtudományi Egyetem	energetikai mérnöki (BSc)	7	7
Szöllõsi Olivér	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	8
Szöllõsi Olivér	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közlekedésmérnöki	10	9
Szöllõsi Olivér	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	10
Szöllõsi Olivér	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mûszaki menedzser	10	11
Szöllõsi Olivér	Szegedi Tudományegyetem	fizika-informatikatanári	10	12
Szöllõsi Olivér	Szegedi Tudományegyetem	informatikatanári-német nemzetiségi (fõiskolai)	10	13
Szöllõsi Olivér	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	14
Szöllõsi Olivér	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	15
Tábori Péter	Budapesti Corvinus Egyetem	gazdálkodási szakos közgazdász tanári	10	1
Tábori Péter	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	2
Tábori Péter	Budapesti Mûszaki és Gazdaságtudományi Egyetem	vegyészmérnöki (BSc)	7	3
Tábori Péter	Budapesti Mûszaki és Gazdaságtudományi Egyetem	villamosmérnöki (BSc)	7	4
Tábori Péter	Szegedi Tudományegyetem	angol-informatikatanári	10	5
Tábori Péter	Szegedi Tudományegyetem	biológia-informatikatanári	10	6
Tábori Péter	Szegedi Tudományegyetem	földrajz-informatikatanári	10	7
Tábori Péter	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	8
Tábori Péter	Szegedi Tudományegyetem	informatikatanári-latin	10	9
Tábori Péter	Szegedi Tudományegyetem	informatikatanári-német	10	10
Tábori Péter	Szegedi Tudományegyetem	informatikatanári-pedagógia	10	11
Tass Huba	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	1
Tass Huba	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	2
Tass Huba	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építõmérnöki (BSc)	8	3
Tass Huba	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	4
Tass Huba	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	5
Tass Huba	Szegedi Tudományegyetem	gazdaságinformatikus (BSc)	7	6
Tass Huba	Szegedi Tudományegyetem	informatikatanári-matematika	10	7
Tass Huba	Szegedi Tudományegyetem	informatikatanári-német	10	8
Tass Huba	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	9
Tass Huba	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	10
Temesi Géza	Budapesti Corvinus Egyetem	élelmiszermérnöki (BSc)	6	1
Temesi Géza	Budapesti Corvinus Egyetem	gazdaságmatematikai elemzõ közgazdász	10	2
Temesi Géza	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	3
Temesi Géza	Budapesti Corvinus Egyetem	kommunikáció-szociológia	10	4
Temesi Géza	Budapesti Corvinus Egyetem	szociológia	10	5
Temesi Géza	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	6
Temesi Géza	Szegedi Tudományegyetem	biológia-informatikatanári	10	7
Temesi Géza	Szegedi Tudományegyetem	informatikatanári-magyar	10	8
Temesi Géza	Szegedi Tudományegyetem	mûszaki informatikai	10	9
Tor Gellért	Budapesti Corvinus Egyetem	szõlész-borász (fõiskolai)	6	1
Tor Gellért	Budapesti Corvinus Egyetem	tájépítész mérnöki	10	2
Tor Gellért	Budapesti Corvinus Egyetem	településmérnöki	10	3
Tor Gellért	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építõmérnöki (BSc)	8	4
Tor Gellért	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (BSc)	7	5
Tor Gellért	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közlekedésmérnöki	10	6
Tor Gellért	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	7
Tor Gellért	Szegedi Tudományegyetem	fizika-informatikatanári	10	8
Tor Gellért	Szegedi Tudományegyetem	informatikatanári-latin	10	9
Tor Gellért	Szegedi Tudományegyetem	informatikatanári-rajz (fõiskolai)	10	10
Tor Gellért	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	11
Tor Gellért	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	12
Tor Gellért	Szegedi Tudományegyetem	mûszaki informatikai	10	13
